time,4 mm,5 mm,7 mm
1/1/2021,37.2053299,37.68442917,37.26906586
1/2/2021,37.37914276,38.26380539,37.54651642
1/3/2021,37.52441406,38.74804306,37.83220673
1/4/2021,37.66368866,39.2122879,38.11913681
1/5/2021,37.77739334,39.59130478,38.41135406
1/6/2021,37.89036942,39.96789932,38.70355225
1/7/2021,37.98223495,40.27411652,38.99523163
1/8/2021,38.0739975,40.5799942,39.28687668
1/9/2021,38.15150833,40.83836365,39.57330322
1/10/2021,38.22745514,41.0915184,39.85855103
1/11/2021,38.29468155,41.31560135,40.13721848
1/12/2021,38.3595047,41.53168488,40.41307068
1/13/2021,38.41851044,41.72837067,40.68212509
1/14/2021,38.47531128,41.91770554,40.94763947
1/15/2021,38.5274353,42.09144974,41.20562744
1/16/2021,38.57827759,42.26091385,41.46097183
1/17/2021,38.62453842,42.41512299,41.70685959
1/18/2021,38.67079926,42.56932831,41.95274734
1/19/2021,38.71253586,42.70845413,42.18728638
1/20/2021,38.75408173,42.84693909,42.42134094
1/21/2021,38.79246521,42.97488022,42.64619064
1/22/2021,38.83041763,43.10138702,42.86978149
1/23/2021,38.86530685,43.2176857,43.08334732
1/24/2021,38.90019608,43.33398056,43.29690933
1/25/2021,38.93255615,43.44185257,43.50131989
1/26/2021,38.96447754,43.54825211,43.70413208
1/27/2021,38.99526215,43.65087509,43.90245438
1/28/2021,39.0246048,43.7486763,44.09505081
1/29/2021,39.05353165,43.84509659,44.2858696
1/30/2021,39.08074951,43.93582535,44.4693985
1/31/2021,39.10796738,44.02655411,44.6529274
2/1/2021,39.13335037,44.11116409,44.82810974
2/2/2021,39.15872192,44.19573975,45.00323868
2/3/2021,39.18284988,44.27616119,45.17239761
2/4/2021,39.20658875,44.35529327,45.33969116
2/5/2021,39.22951889,44.43172073,45.50291061
2/6/2021,39.25177383,44.50590515,45.66273499
2/7/2021,39.27378082,44.57926559,45.82126999
2/8/2021,39.2947464,44.64915848,45.97434998
2/9/2021,39.31560135,44.71866608,46.12680435
2/10/2021,39.33551788,44.78505325,46.27417374
2/11/2021,39.3552742,44.85091019,46.42066193
2/12/2021,39.37427521,44.91424179,46.56290436
2/13/2021,39.39304733,44.9768219,46.70386124
2/14/2021,39.41122055,45.03739929,46.84138107
2/15/2021,39.42909622,45.09698486,46.97713852
2/16/2021,39.44654465,45.15514374,47.11039734
2/17/2021,39.46352386,45.21173859,47.24084473
2/18/2021,39.4803009,45.26766205,47.37009811
2/19/2021,39.49644089,45.32146072,47.49544525
2/20/2021,39.51247406,45.37491608,47.62015533
2/21/2021,39.52819061,45.42729568,47.74287033
2/22/2021,39.54349899,45.47832489,47.86305237
2/23/2021,39.55860138,45.52865982,47.98191452
2/24/2021,39.57329559,45.57765198,48.09822083
2/25/2021,39.58781052,45.62603378,48.21334457
2/26/2021,39.60195541,45.67318344,48.32607651
2/27/2021,39.61592484,45.71974564,48.43764496
2/28/2021,39.6295433,45.76514053,48.54693222
2/1/2029,39.64302826,45.81009293,48.65532684
3/1/2021,39.65611649,45.85372162,48.76107788
3/2/2021,39.66920853,45.89735031,48.86683273
3/3/2021,39.68182373,45.93940353,48.96939468
3/4/2021,39.69439697,45.98131943,49.07168198
3/5/2021,39.70667648,46.02225113,49.17193604
3/6/2021,39.71880341,46.06266785,49.27114105
3/7/2021,39.73067474,46.10224915,49.36861038
3/8/2021,39.74239349,46.14130402,49.46498871
3/9/2021,39.75390625,46.17968369,49.55994415
3/10/2021,39.76520538,46.21734238,49.65338898
3/11/2021,39.77647781,46.25492096,49.74666214
3/12/2021,39.78738403,46.29127884,49.83732986
3/13/2021,39.79829025,46.3276329,49.9280014
3/14/2021,39.80888748,46.362957,50.01646805
3/15/2021,39.81945419,46.39818192,50.10470581
3/16/2021,39.82975006,46.43248749,50.19095993
3/17/2021,39.83998108,46.4665947,50.27677917
3/18/2021,39.84999466,46.49997711,50.36102295
3/19/2021,39.85993195,46.53309631,50.4446907
3/20/2021,39.86965942,46.56553268,50.52684402
3/21/2021,39.87934875,46.5978241,50.60869217
3/22/2021,39.88878632,46.62928391,50.68868256
3/23/2021,39.89822388,46.66074371,50.76867676
3/24/2021,39.90743256,46.69142914,50.84695435
3/25/2021,39.91660309,46.72200012,50.92495728
3/26/2021,39.92554855,46.75181961,51.00128555
3/27/2021,39.93447113,46.78156281,51.07743073
3/28/2021,39.94320679,46.81069183,51.15219116
3/29/2021,39.95187378,46.83957672,51.22639847
3/30/2021,39.96044159,46.86813736,51.29986572
3/31/2021,39.96886444,46.89621735,51.37223434
4/1/2021,39.97724152,46.92412567,51.4442215
4/2/2021,39.98545456,46.95151138,51.51499939
4/3/2021,39.99360275,46.97867584,51.58525848
4/4/2021,40.00164413,47.00547409,51.65468597
4/5/2021,40.00957108,47.03190231,51.72326279
4/6/2021,40.0174408,47.05813599,51.79137802
4/7/2021,40.02513885,47.08378983,51.85813904
4/8/2021,40.0328331,47.10943985,51.92490768
4/9/2021,40.04039383,47.13463974,51.9906044
4/10/2021,40.04788589,47.15961075,52.0557785
4/11/2021,40.05530167,47.18433762,52.12036514
4/12/2021,40.06261444,47.20871735,52.18414307
4/13/2021,40.06985855,47.23286057,52.24737167
4/14/2021,40.07701874,47.25671768,52.30991364
4/15/2021,40.08409119,47.28030014,52.37180328
4/16/2021,40.09109497,47.3036499,52.43315125
4/17/2021,40.09801865,47.32672501,52.49383545
4/18/2021,40.10487747,47.34958267,52.55400085
4/19/2021,40.11164856,47.37215805,52.61349487
4/20/2021,40.11836243,47.39453506,52.67251205
4/21/2021,40.12499237,47.41663742,52.73086929
4/22/2021,40.13156128,47.4385376,52.78874207
4/23/2021,40.13806152,47.46020126,52.84604263
4/24/2021,40.14448166,47.48160553,52.90271759
4/25/2021,40.15088654,47.50294495,52.95924759
4/26/2021,40.15716553,47.52388,53.01478195
4/27/2021,40.16343307,47.54476929,53.07021713
4/28/2021,40.16959,47.56529236,53.12475967
4/29/2021,40.17572403,47.58574295,53.17911911
4/30/2021,40.18175507,47.60585022,53.23265076
5/1/2021,40.18778992,47.6259613,53.28617859
5/2/2021,40.19369507,47.64564133,53.33867264
5/3/2021,40.19959259,47.66530228,53.39110947
5/4/2021,40.20542145,47.68472672,53.44296265
5/5/2021,40.21118927,47.7039566,53.49433517
5/6/2021,40.21692276,47.72307587,53.54543686
5/7/2021,40.22257233,47.74190521,53.59583282
5/8/2021,40.22821045,47.76069641,53.64612961
5/9/2021,40.23374176,47.77914047,53.69557571
5/10/2021,40.23927689,47.79758453,53.74501419
5/11/2021,40.24472046,47.81573486,53.79372025
5/12/2021,40.25014496,47.8338089,53.84225082
5/13/2021,40.25550079,47.85165787,53.8902092
5/14/2021,40.2608223,47.86940384,53.93791199
5/15/2021,40.26608276,47.88694382,53.98509979
5/16/2021,40.27131653,47.90437698,54.03203964
5/17/2021,40.27648163,47.92159271,54.07841873
5/18/2021,40.28162003,47.93872833,54.1246109
5/19/2021,40.28669357,47.9556427,54.17023087
5/20/2021,40.29174423,47.97247696,54.21566391
5/21/2021,40.29673767,47.9891243,54.26062775
5/22/2021,40.30169678,48.0056572,54.30529404
5/23/2021,40.30661392,48.02203751,54.34958649
5/24/2021,40.31148148,48.03826523,54.39348221
5/25/2021,40.31633377,48.05443573,54.43725204
5/26/2021,40.32111359,48.07036972,54.48040771
5/27/2021,40.32588196,48.08626938,54.52348709
5/28/2021,40.33058167,48.10193634,54.565979
5/29/2021,40.33527374,48.11757278,54.60838699
5/30/2021,40.33989334,48.1329689,54.65018845
5/31/2021,40.34451294,48.14836502,54.69198227
6/1/2021,40.34906387,48.16353989,54.73322296
6/2/2021,40.35359955,48.17865753,54.7743187
6/3/2021,40.35808945,48.19362259,54.81502914
6/4/2021,40.36254501,48.20848083,54.85546112
6/5/2021,40.36697388,48.22323608,54.89561844
6/6/2021,40.37135315,48.23784256,54.93541718
6/7/2021,40.37571716,48.252388,54.97504425
6/8/2021,40.38002396,48.26673889,55.01419449
6/9/2021,40.38433075,48.28109741,55.05334473
6/10/2021,40.38856506,48.29520798,55.09187317
6/11/2021,40.39279175,48.30929947,55.13033676
6/12/2021,40.39698792,48.32329178,55.16856384
6/13/2021,40.40113831,48.33711624,55.20634842
6/14/2021,40.40528488,48.3509407,55.24413681
6/15/2021,40.40937042,48.36455917,55.28138733
6/16/2021,40.41344452,48.37814713,55.31856155
