t,4 mm,7 mm
0,37,37
1,37.2053299,37.26906586
2,37.37914276,37.54651642
3,37.52441406,37.83220673
4,37.66368866,38.11913681
5,37.77739334,38.41135406
6,37.89036942,38.70355225
7,37.98223495,38.99523163
8,38.0739975,39.28687668
9,38.15150833,39.57330322
10,38.22745514,39.85855103
11,38.29468155,40.13721848
12,38.3595047,40.41307068
13,38.41851044,40.68212509
14,38.47531128,40.94763947
15,38.5274353,41.20562744
16,38.57827759,41.46097183
17,38.62453842,41.70685959
18,38.67079926,41.95274734
19,38.71253586,42.18728638
20,38.75408173,42.42134094
21,38.79246521,42.64619064
22,38.83041763,42.86978149
23,38.86530685,43.08334732
24,38.90019608,43.29690933
25,38.93255615,43.50131989
26,38.96447754,43.70413208
27,38.99526215,43.90245438
28,39.0246048,44.09505081
29,39.05353165,44.2858696
30,39.08074951,44.4693985
31,39.10796738,44.6529274
32,39.13335037,44.82810974
33,39.15872192,45.00323868
34,39.18284988,45.17239761
35,39.20658875,45.33969116
36,39.22951889,45.50291061
37,39.25177383,45.66273499
38,39.27378082,45.82126999
39,39.2947464,45.97434998
40,39.31560135,46.12680435
41,39.33551788,46.27417374
42,39.3552742,46.42066193
43,39.37427521,46.56290436
44,39.39304733,46.70386124
45,39.41122055,46.84138107
46,39.42909622,46.97713852
47,39.44654465,47.11039734
48,39.46352386,47.24084473
49,39.4803009,47.37009811
50,39.49644089,47.49544525
51,39.51247406,47.62015533
52,39.52819061,47.74287033
53,39.54349899,47.86305237
54,39.55860138,47.98191452
55,39.57329559,48.09822083
56,39.58781052,48.21334457
57,39.60195541,48.32607651
58,39.61592484,48.43764496
59,39.6295433,48.54693222
60,39.64302826,48.65532684
61,39.65611649,48.76107788
62,39.66920853,48.86683273
63,39.68182373,48.96939468
64,39.69439697,49.07168198
65,39.70667648,49.17193604
66,39.71880341,49.27114105
67,39.73067474,49.36861038
68,39.74239349,49.46498871
69,39.75390625,49.55994415
70,39.76520538,49.65338898
71,39.77647781,49.74666214
72,39.78738403,49.83732986
73,39.79829025,49.9280014
74,39.80888748,50.01646805
75,39.81945419,50.10470581
76,39.82975006,50.19095993
77,39.83998108,50.27677917
78,39.84999466,50.36102295
79,39.85993195,50.4446907
80,39.86965942,50.52684402
81,39.87934875,50.60869217
82,39.88878632,50.68868256
83,39.89822388,50.76867676
84,39.90743256,50.84695435
85,39.91660309,50.92495728
86,39.92554855,51.00128555
87,39.93447113,51.07743073
88,39.94320679,51.15219116
89,39.95187378,51.22639847
90,39.96044159,51.29986572
91,39.96886444,51.37223434
92,39.97724152,51.4442215
93,39.98545456,51.51499939
94,39.99360275,51.58525848
95,40.00164413,51.65468597
96,40.00957108,51.72326279
97,40.0174408,51.79137802
98,40.02513885,51.85813904
99,40.0328331,51.92490768
100,40.04039383,51.9906044
101,40.04788589,52.0557785
102,40.05530167,52.12036514
103,40.06261444,52.18414307
104,40.06985855,52.24737167
105,40.07701874,52.30991364
106,40.08409119,52.37180328
107,40.09109497,52.43315125
108,40.09801865,52.49383545
109,40.10487747,52.55400085
110,40.11164856,52.61349487
111,40.11836243,52.67251205
112,40.12499237,52.73086929
113,40.13156128,52.78874207
114,40.13806152,52.84604263
115,40.14448166,52.90271759
116,40.15088654,52.95924759
117,40.15716553,53.01478195
118,40.16343307,53.07021713
119,40.16959,53.12475967
120,40.17572403,53.17911911
121,40.18175507,53.23265076
122,40.18778992,53.28617859
123,40.19369507,53.33867264
124,40.19959259,53.39110947
125,40.20542145,53.44296265
126,40.21118927,53.49433517
127,40.21692276,53.54543686
